id,fullName,pref_college
6852,Bruce Alexander,Stephen F. Austin
1159,Leo Araguz,Stephen F. Austin
2796,Jake Arians,Stephen F. Austin
15201,George Bias,Stephen F. Austin
11230,Kyle Bissinger,Stephen F. Austin;UAB
2699,Derrick Blaylock,Stephen F. Austin
2369,Rodregis Brooks,Stephen F. Austin;UAB
4830,Chris Brown,Stephen F. Austin;UAB
121,Larry Centers,Stephen F. Austin
2484,KaRon Coleman,Stephen F. Austin
12565,Dominique Edison,Stephen F. Austin
917,Josh Evans,Stephen F. Austin
3571,Eddie Freeman,Stephen F. Austin;UAB
1374,Mike Quinn,Stephen F. Austin
1576,Izell Reese,Stephen F. Austin
1489,Mikhael Ricks,Stephen F. Austin
8072,James Ritchey,Stephen F. Austin
787,Terrance Shaw,Stephen F. Austin
3550,Bryan Thomas,Stephen F. Austin;UAB
1626,Jeremiah Trotter,Stephen F. Austin
6788,Reggie Barrett,UTEP
9943,Chris Francies,UTEP
10543,Johnnie Lee Higgins,UTEP
48,Chris Jacke,UTEP
6810,Seth Joyner,UTEP
5036,Ola Kimrin,UTEP
2325,Leif Larsen,UTEP
3779,Lee Mays,UTEP
3484,Brian Natkin,UTEP
17026,Kevin Perry,UTEP
7777,Pete Shufelt,UTEP
2263,Paul Smith,UTEP
1578,David Terrell,UTEP
11400,Marcus Thomas,UTEP
7116,Tony Tolbert,UTEP
4371,Nathan Black,Northwestern State
12184,Al Edwards,Northwestern State
2385,Michael Green,Northwestern State
13859,Isaiah Greenhouse,Northwestern State
7394,Adrian Hardy,Northwestern State
6444,Bobby Hebert,Northwestern State
7130,Randy Hilliard,Northwestern State
10918,Chad Johnson,Northwestern State
4569,Terrence McGee,Northwestern State
9673,David Pittman,Northwestern State
2035,Ronnie Powell,Northwestern State
624,Marcus Spears,Northwestern State
3019,Tony Taylor,Northwestern State
1317,Keith Thibodeaux,Northwestern State
6580,Floyd Turner,Northwestern State
6492,Odessa Turner,Northwestern State
10484,John Beck,BYU
5765,Colby Bockwoldt,BYU
10935,Daniel Coats,BYU
3589,Ryan Denney,BYU
321,Ty Detmer,BYU
7365,Mohammed Elewonibi,BYU
12786,Ray Feinga,BYU
9355,Aaron Francisco,BYU
2224,Byron Frisch,BYU
105,Kurt Gouveia,BYU
7502,Derwin Gray,BYU
849,Travis Hall,BYU
10726,Jonny Harline,BYU
2899,Chris Hoke,BYU
15568,McKay Jacobson,BYU
10868,Cameron Jensen,BYU
1571,Dustin Johnson,BYU
44,Lee Johnson,BYU
3583,Doug Jolley,BYU
12180,Glen Kozlowski,BYU
6813,Trevor Matich,BYU
8185,Kaipo McGuire,BYU
6406,James Robert McMahon,BYU
1652,Itula Mili,BYU
7192,Brian Mitchell,BYU
2159,Rob Morris,BYU
13081,David Nixon,BYU
8642,Shaun Nua,BYU
7165,Bart Oates,BYU
854,Evan Pilgrim,BYU
2765,Owen Pochman,BYU
8539,Brady Poppinga,BYU
5193,Gabe Reid,BYU
1712,Spencer Reid,BYU
6613,Vai Sikahema,BYU
10246,Naufahu Tahi,BYU
1765,John Tait,BYU
13803,Manase Tonga,BYU
1093,Morris Unutoa,BYU
2040,Mike Maslowski,University of Wisconsin La-Crosse
7048,Tom Newberry,University of Wisconsin La-Crosse
640,Bill Schroeder,University of Wisconsin La-Crosse
493,Greg Bishop,Pacific
6610,Mike Merriweather,Pacific
6674,Johnny Bailey,Texas A&M Kingsville
9879,Michael Bragg,Texas A&M Kingsville
1163,Kevin Dogins,Texas A&M Kingsville
6583,Mike Dyal,Texas A&M Kingsville
99,Darrell Green,Texas A&M Kingsville
6612,James Jefferson,Texas A&M Kingsville
8062,Richard Jones,Texas A&M Kingsville
976,Jermane Mayberry,Texas A&M Kingsville
7676,Anthony Phillips,Texas A&M Kingsville
6589,Heath Sherman,Texas A&M Kingsville
6702,Anthony Blaylock,Winston-Salem State
15452,Nicholas Cooper,Winston-Salem State
7039,Donald Evans,Winston-Salem State
7029,Donald Frank,Winston-Salem State
1070,Oronde Gadsden,Winston-Salem State
993,Richard Huntley,Winston-Salem State
17405,Jerome Junior,Winston-Salem State
273,Yancey Thigpen,Winston-Salem State
4391255,Kiefer Sherwood,Miami (OH)